"X","TLID","STATEFP","COUNTYFP","TFIDL","TFIDR","MTFCC","FULLNAME","SMID","LFROMADD","LTOADD","RFROMADD","RTOADD","ZIPL","ZIPR","Length","CLASS","RDTYPE","Main","DeadEnd","Cluster","unit_N","unit_N_orig","property_N","parcel_N","BG_ID_10","CT_ID_10"
8186,85704711,25,25,205872163,205872162,"S1400","Hyde Park Ave",2758,"1860","1882","1859","1883",2136,2136,84.49,5,5,0,0,4,9,9,5,5,250251402012,25025140201
8187,85729247,25,25,205870166,205872167,"S1400","Yuill Cir",2758,"2","12","9","15",2136,2136,63.5,5,5,0,0,2,3,3,5,5,250251402011,25025140201
8188,85704757,25,25,205872168,205872169,"S1400","Colchester St",2758,"2","14","1","17",2136,2136,129.27,5,5,0,0,4,14,14,8,8,250251402012,25025140201
8189,85737170,25,25,205864631,262462831,"S1400"," ",2758," "," "," "," ",0,0,56.18,5,5,0,0,0,0,0,0,0,250251402012,25025140201
8190,85704829,25,25,205872178,205872179,"S1400","Canterbury St",2758,"672","698","675","677",2131,2131,128.77,5,5,0,0,3,8,8,7,7,250251103011,25025110301
8191,85704892,25,25,205872588,205872185,"S1400","Mariposa St",2758,"90","98","81","99",2136,2136,44.78,5,5,0,0,2,2,2,2,2,250251404005,25025140400
8192,85704888,25,25,257444375,205872186,"S1400","Noah St",2758,"99","1","2","98",2136,2136,98.8,5,5,0,0,4,3,3,4,4,250251404006,25025140400
8193,85704951,25,25,205872185,205872187,"S1400","Seminole St",2758,"62","98","81","99",2136,2136,98.41,5,5,0,0,4,7,7,9,9,250251404005,25025140400
8194,85695419,25,25,259955786,205872194,"S1400","Raymond St",2758,"54","66","33","37",2134,2134,30.67,5,5,0,0,2,6,6,3,3,250250001002,25025000100
8195,85695436,25,25,205872734,205872197,"S1400","Franklin St",2758,"66","76","59","83",2134,2134,94.71,5,5,0,0,2,49,49,16,10,250250008023,25025000802
8196,85695461,25,25,205872198,205872197,"S1400","Bradbury St",2758,"2","98","1","99",2134,2134,126.03,5,5,0,0,2,20,20,14,12,250250008023,25025000802
8197,85695440,25,25,205872734,205872199,"S1400","Adamson St",2758,"66","98","69","99",2134,2134,116.76,5,5,0,0,2,52,21,19,12,250250008023,25025000802
8198,85735316,25,25,205872200,205872200,"S1400"," ",2758," "," "," "," ",0,0,310.93,6,6,0,0,3,0,0,1,1,250250008031,25025000803
8199,85695377,25,25,205872205,205872203,"S1400","Rugg Rd",2758,"2","10","1","49",2134,2134,98.55,5,5,0,0,3,6,0,1,1,250250008022,25025000802
8200,85695542,25,25,205872251,205872206,"S1200","Brighton Ave",2758," "," "," "," ",0,0,78.22,2,2,1,0,3,8,8,3,3,250250008022,25025000802
8201,85695540,25,25,205869804,205872206,"S1200","Brighton Ave",2758," "," ","157","299",0,2134,25.3,2,2,1,0,0,0,0,0,0,250250006021,25025000602
8202,85727326,25,25,205872779,258864004,"S1400","Sutherland Rd",2758,"8","14"," "," ",2135,0,21.15,5,5,0,0,3,6,6,1,1,250250005021,25025000502
8203,85727325,25,25,205865007,258864004,"S1400","Sutherland Rd",0,"2","6","1","15",2135,2135,48.79,5,5,0,0,6,110,110,110,1,250250005021,25025000502
